AUTOR,TÍTULO,ISBN,GERAL,PARTICULAR,PAIS,TÓPICO,GEOGRAFIA,CLÁSSICO,CRÍTICA,LOVE,REL,TEMPO,PENSAMENTO,SECULO,CDD,VOL,COL,EDITORA,IDIOMA,ANO,PÁG
-,NIV Holy Bible,978-0-310-44646-0,Cristianismo,Bíblia,,,,N,N,N,S,P,T,,220.0,1,,Zondervan,Inglês,-,849
"Agostinho, Santo",Confissões ,978-85-326-6511-9,Cristianismo,Biografia,Hipona,Igreja Católica ,Africa,S,N,N,S,P,T,IV,922.22,1,,Vozes,Português ,2025,387
"Agostinho, Santo",Sobre a felicidade,978-85-326-4799-3,Filosofia e religião,Felicidade,Hipona,Patrística,Africa,N,S,N,S,P,T,IV,189.2,,,Vozes de bolso,Português,2020,43
"Almeida, Manuel Antônio de",Memórias de um sargento de milícias,,Romance,Romance brasileiro,Brasil,Romantismo,América latina,S,N,N,N,P,D,XIX,869.33,1,0,Moderna,Português,1984,231
"Aquino, Felipe",Para entender a reforma protestante,978-85-8497-041-4,Cristianismo,História da Igreja,Brasil,Reforma Protestante,América latina,N,S,N,S,C,T,XXI,270.6,1,0,Cleófas,Português,2018,192
"Aquino, São Tomás de",A imortalidade da alma & A razão superior e inferior,978-85-8491-058-8,Filosofia,Ética/Moral,Itália,Escolástica,Europa,N,N,N,S,P,T,XIII,170.0,1,0,Ecclesiae,Português,2017,134
Aristóteles,De Anima (On the Soul),978-0-140-44471-1,Filosofia,Filosofia antiga,Grécia Antiga,,Europa,N,N,N,N,P,T,antes de Cristo,128.0,1,0,Penguin,Inglês,2022,220
Aristóteles,A política,978-85-209-3408-1,Ciência política,Filosofia antiga,Grécia Antiga,Política,Europa,S,N,N,N,P,T,antes de Cristo,320.01,,,Nova fronteira,Português,2017,352
"Asimov, Isaac","Eu, robô",978-85-61706-35-7,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,N,S,N,N,F,P,XX,813.0,1,0,Pocket ouro,Português,2009,313
"Asimov, Isaac",Fundação,978-85-7657-066-0,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,N,S,N,N,F,P,XX,813.08,1,1,Aleth,Português,2010,238
"Asimov, Isaac",Segunda fundação,978-85-7657-068-4,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,N,S,N,N,F,P,XX,813.08,1,2,Aleth,Português,2010,235
"Asimov, Isaac",Fundação e império,978-85-7657-067-7,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,N,S,N,N,F,P,XX,813.08,1,3,Aleth,Português,2010,244
"Austen, Jane",Orgulho e preconceito,978-85-5671-017-8,Romance,Romance inglês,Inglaterra,,Europa,S,N,S,N,P,D,XIX,823.7,1,,Pé da letra,Português,2021,240
"Austen, Jane",Persuasão,978-85-8789-816-6,Romance,Romance inglês,Inglaterra,,Europa,N,N,S,N,P,D,XIX,823.7,1,,Pé da letra,Português,2021,232
"Azevedo, Aluísio",O cortiço,978-85-349-2370-5,Romance ,Romance brasileiro,Brasil,Naturalismo,América latina,S,S,N,N,P,D,XIX,869.93,1,0,Paulus,Português,2002,232
"Balzac, Honoré de",A mulher de trinta anos,978-85-7232-954-5,Romance,Romance francês,França,,Europa,S,N,N,N,P,P,XIX,843.0,1,0,Martin Claret,Português,2018,221
"Barreto, Lima",Triste fim de Policarpo Quaresma,978-85-99896-33-4,Romance,Romance brasileiro,Brasil,Literatura brasileira,América latina,S,N,N,N,P,D,XX,869.3,1,0,Nova fronteira,Português,2008,256
"Bastiat, Frederic",A lei,978-85-62409-71-4,Direito,Filosofia,França,Ciência política,Europa,N,S,N,N,P,P,XIX,340.12,1,0,Faro editorial,Português,2016,140
"Berlitz, Charles",Francês Passo a Passo,85-336-0307-X,Francês,Idiomas,EUA,,América do norte,N,N,N,N,C,T,XX,443.24,1,0,Martins Fontes,Português,1994,329
"Bradbury, Ray",Fahrenheit 451,978-85-250-4211-8,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,S,S,N,N,F,P,XX,813.08,1,0,Globo,Português,2007,216
"Bradbury, Ray",Fahrenheit 451,978-1-4516-9031-6,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,S,S,N,N,F,P,XX,813.08,1,0,Simon & Schuster,Inglês,2012,158
"Bronte, Emily",O morro dos ventos uivantes,978-85-7799-202-7,Romance,Romance inglês,Inglaterra,Clássicos,Europa,S,N,S,N,P,P,XIX,823.0,1,0,BestBolso,Português,2010,405
"Bulfinch, Thomas",O livro de ouro da mitologia: histórias de deuses e heróis,978850002590-7,Mitologia,Mitologia grega,Grécia Antiga,,Europa,N,N,N,N,P,D,,291.13,1,0,Ediouro,Português,2006,355
"Burgess, Anthony",Laranja mecânica,978-65-86064-45-2,Ficção,Ficção inglesa,Inglaterra,Ficção científica,Europa,S,S,N,N,F,P,XX,823.91,1,0,Aleth,Português,2021,288
"Caminha, Pero Vaz de",A carta do descobrimento: ao rei D. Manuel,978-85-209-4126-3,História,História do Brasil,Brasil,Descobrimento,América latina,N,N,N,N,P,D,XV,981.01,1,0,Nova fronteira,Português,2017,96
"Campagnolo, Ana Caroline",Guia de bolso contra mentiras feministas,978-65-87138-75-6,Feminismo,,Brasil,,América latina,N,S,N,N,C,T,XIX,305.42,1,0,Vide editorial,Português,2021,194
"Camus, Albert",O mito de Sísifo,978-85-7799-269-0,Ensaio,Ensaio francês,França,Existencialismo,Europa,S,N,N,N,C,T,XX,844.0,1,0,BestBolso,Português,2021,138
"Carter, Lin",O senhor dos anéis: o mundo de Tolkien,85-01-06515-3,Ficção ,Ficção inglesa,Inglaterra,História e crítica,Europa,N,N,N,N,C,P,XX,823.0,1,0,Record,Português,2003,221
"Carvalho, Olavo de",O Jardim das Aflições,978-85-67394-51-0,Ciência política,Ideologias políticas,Brasil,Materialismo,América latina,N,S,N,N,C,T,XXI,320.01,1,,Vide editorial,Português,2015,463
"Cervantes, Miguel de",O engenhoso fidalgo Dom Quixote de La Mancha,978-85-7326-457-9,Romance,Romance espanhol,Espanha,Clássicos,Europa,S,N,N,N,P,P,XVII ,863.0,1,1,Editora 34,Português,2010,698
"Cervantes, Miguel de",O engenhoso cavaleiro Dom Quixote de La Mancha,978-85-7326-458-6,Romance,Romance espanhol,Espanha,Clássicos,Europa,S,N,N,N,P,P,XVII ,863.0,1,2,Editora 34,Português,2010,758
"Christie, Agatha",O misterioso caso de Styles e Enquanto houver luz,978-85-7799-262-1,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.0,1,P,BestBolso,Português,2010,196
"Christie, Agatha",O caso do hotel Bertram,978-85-7799-262-1,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.0,1,M,BestBolso,Português,2010,210
"Christie, Agatha",Uma dose mortal,978-85-254-2102-9,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.0,1,P,L&PM Pocket,Português,2011,224
"Christie, Agatha",Os crimes ABC,978-85-8041-501-8,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.0,1,,L&PM Pocket,Português,2016,208
"Christie, Agatha",Assassinato no Expresso Oriente,978-85-306-0117-1,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.0,1,,L&PM Pocket,Português,2021,224
"Christie, Agatha",O Natal de Poirot,978-85-209-2360-3,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.0,1,P,Nova fronteira,Português,2009,223
"Christie, Agatha",Cai o pano,978-85-209-2362-7,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.0,1,,Nova fronteira,Português,2009,217
"Christie, Agatha",E não sobrou nenhum,978-85-250-4529-4,Ficção,Ficção policial,Inglaterra,Mistério,Europa,N,N,N,N,C,D,XX,823.08,1,0,Globo,Português,2009,397
"Coben, Harlan",A grande ilusão,978-65-5565-196-6,Ficção,Ficção norte americana,EUA,Suspense,América do norte,N,N,N,N,C,D,XXI,813.0,1,0,Arqueiro,Português,2021,304
"Darwin, Charles",On the Origin of Species,978-0-19-921922-3,Evolução,Seleção natural,Inglaterra,Biologia,Europa,S,N,N,N,P,P,XIX,576.82,1,1,Oxford,Inglês,2008,394
"Dick, Philip K.",Ubik,978-85-7657-451-4,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,N,S,N,N,F,P,XX,813.08,1,0,Aleth,Português,2019,248
